experiment	tube	timepoint	date	rootID	layerID	segmentID	x start [pxl]	y start [pxl]	x end [pxl]	y end [pxl]	length_pixel	startDiameter_pixel	endDiameter_pixel	surfaceArea_pixel^2	volume_pixel^3	children	status	statusName
me	T23	1	25.02.15	188	1	1	0.0	91.0	67.0	78.0	68.24954212300622	8.356422424316406	9.6972074508667	1935.553263877318	4375.789487740232	1	0	LIVING
me	T23	1	25.02.15	188	1	2	67.0	78.0	160.0	68.0	93.53608929178085	9.6972074508667	7.805590629577637	2571.7501230990524	5648.22073873313	1	0	LIVING
me	T23	1	25.02.15	188	1	3	160.0	68.0	197.0	65.0	37.12142238654117	7.805590629577637	7.015637397766113	864.2775998246544	1602.6324094984104	1	0	LIVING
me	T23	1	25.02.15	188	1	4	197.0	65.0	232.0	54.0	36.68787265568828	7.015637397766113	8.044711112976074	868.000821063555	1636.4315671535205	1	0	LIVING
me	T23	1	25.02.15	188	1	5	232.0	54.0	250.0	54.0	18.0	8.044711112976074	6.703926086425781	417.2970117650699	770.9051343983239	1	0	LIVING
me	T23	1	25.02.15	188	1	6	250.0	54.0	287.0	69.0	39.92492955535426	6.703926086425781	6.703926086425781	840.8591387271867	1409.2643596128692	1	0	LIVING
me	T23	1	25.02.15	188	1	7	287.0	69.0	315.0	83.0	31.304951684997057	6.703926086425781	5.363141059875488	593.5184237632199	898.7314508183539	1	0	LIVING
me	T23	1	25.02.15	188	1	8	315.0	83.0	331.0	97.0	21.2602916254693	5.363141059875488	6.703926086425781	403.18709892478137	610.36007752526	1	0	LIVING
me	T23	1	25.02.15	188	1	9	331.0	97.0	350.0	109.0	22.47220505424423	6.703926086425781	6.703926086425781	473.28722173483294	793.2206272512125	1	0	LIVING
me	T23	1	25.02.15	188	1	10	350.0	109.0	375.0	120.0	27.313000567495326	6.703926086425781	6.703926086425781	575.2392399690359	964.0903235781725	1	0	LIVING
me	T23	1	25.02.15	188	1	11	375.0	120.0	412.0	134.0	39.56008088970496	6.703926086425781	5.363141059875488	749.9652268958816	1135.7273204013673	1	0	LIVING
me	T23	1	25.02.15	188	1	12	412.0	134.0	446.0	140.0	34.52535300326414	5.363141059875488	5.363141059875488	581.7109249053872	779.9494433433164	1	0	LIVING
me	T23	1	25.02.15	188	1	13	446.0	140.0	506.0	145.0	60.207972893961475	5.363141059875488	6.703926086425781	1141.307134145536	1728.5060642899762	1	0	LIVING
me	T23	1	25.02.15	188	1	14	506.0	145.0	561.0	158.0	56.515484603779164	6.703926086425781	6.703926086425781	1190.272900614556	1994.8753599660322	1	0	LIVING
me	T23	1	25.02.15	188	1	15	561.0	158.0	578.0	165.0	18.384776310850235	6.703926086425781	8.044711112976074	426.20511807666276	787.3843584888401	1	0	LIVING
me	T23	1	25.02.15	188	1	16	578.0	165.0	593.0	179.0	20.518284528683193	8.044711112976074	9.385496139526367	562.076124171166	1226.3990339715356	1	0	LIVING
me	T23	1	25.02.15	188	1	17	593.0	179.0	599.0	199.0	20.8806130178211	9.385496139526367	6.703926086425781	528.8068422473845	1071.1659947719643	1	0	LIVING
me	T23	1	25.02.15	188	1	18	599.0	199.0	598.0	218.0	19.026297590440446	6.703926086425781	8.044711112976074	441.05777050881017	814.8594722811666	1	0	LIVING
me	T23	1	25.02.15	188	1	19	598.0	218.0	607.0	234.0	18.35755975068582	8.044711112976074	6.703926086425781	425.5750085640187	786.218725934873	1	0	LIVING
me	T23	1	25.02.15	188	1	20	607.0	234.0	629.0	259.0	33.301651610693426	6.703926086425781	8.044711112976074	771.6591754154821	1426.2452339237655	1	0	LIVING
me	T23	1	25.02.15	188	1	21	629.0	259.0	664.0	274.0	38.07886552931954	8.044711112976074	8.044711112976074	962.3749873617276	1935.5071871028567	1	0	LIVING
me	T23	1	25.02.15	188	1	22	664.0	274.0	708.0	287.0	45.880278987817846	8.044711112976074	6.703926086425781	1063.02670918397	1964.9634799631285	1	0	LIVING
me	T23	1	25.02.15	188	1	23	708.0	287.0	739.0	292.0	31.400636936215164	6.703926086425781	6.703926086425781	661.3289697371563	1108.3751179071758	1	0	LIVING
me	T23	1	25.02.15	188	1	24	739.0	292.0	783.0	289.0	44.10215414239989	6.703926086425781	6.703926086425781	928.8356864043301	1556.71142584902	1	0	LIVING
me	T23	1	25.02.15	188	1	25	783.0	289.0	854.0	278.0	71.84705978674423	6.703926086425781	6.703926086425781	1513.17128133193	2536.047072044363	0	0	LIVING
me	T23	1	25.02.15	192	1	1	0.0	108.0	55.0	93.0	57.0087712549569	9.385496139526367	8.044711112976074	1560.9683985706172	3407.4730710184954	1	0	LIVING
me	T23	1	25.02.15	192	1	2	55.0	93.0	145.0	84.0	90.44888059008801	8.044711112976074	9.385496139526367	2476.495421574225	5406.2229044744445	1	0	LIVING
me	T23	1	25.02.15	192	1	3	145.0	84.0	194.0	81.0	49.09175083453431	9.385496139526367	6.703926086425781	1241.1685559949283	2518.384593062041	1	0	LIVING
me	T23	1	25.02.15	192	1	4	194.0	81.0	216.0	76.0	22.561028345356956	6.703926086425781	5.363141059875488	427.8308968961922	647.7028280000224	1	0	LIVING
me	T23	1	25.02.15	192	1	5	216.0	76.0	237.0	68.0	22.47220505424423	5.363141059875488	9.385496139526367	522.6967349632457	983.593556177024	1	0	LIVING
me	T23	1	25.02.15	192	1	6	237.0	68.0	260.0	74.0	23.769728648009426	9.385496139526367	9.385496139526367	700.8600930939048	1644.4799362677452	1	0	LIVING
