experiment	tube	timepoint	rootID	layerID	segmentID	length_pixel	startDiameter_pixel	endDiameter_pixel	surfaceArea_pixel^2	volume_pixel^3	children	status	statusName
me	T23	1	180	1	1	68.24954212300622	8.356422424316406	9.6972074508667	1935.553263877318	4375.789487740232	1	0	LIVING
me	T23	1	180	1	2	93.53608929178085	9.6972074508667	7.805590629577637	2571.7501230990524	5648.22073873313	1	0	LIVING
me	T23	1	180	1	3	37.12142238654117	7.805590629577637	7.015637397766113	864.2775998246544	1602.6324094984104	1	0	LIVING
me	T23	1	180	1	4	36.68787265568828	7.015637397766113	8.044711112976074	868.000821063555	1636.4315671535205	1	0	LIVING
me	T23	1	180	1	5	18.0	8.044711112976074	6.703926086425781	417.2970117650699	770.9051343983239	1	0	LIVING
me	T23	1	180	1	6	39.92492955535426	6.703926086425781	6.703926086425781	840.8591387271867	1409.2643596128692	1	0	LIVING
me	T23	1	180	1	7	31.304951684997057	6.703926086425781	5.363141059875488	593.5184237632199	898.7314508183539	1	0	LIVING
me	T23	1	180	1	8	21.2602916254693	5.363141059875488	6.703926086425781	403.18709892478137	610.36007752526	1	0	LIVING
me	T23	1	180	1	9	22.47220505424423	6.703926086425781	6.703926086425781	473.28722173483294	793.2206272512125	1	0	LIVING
me	T23	1	180	1	10	27.313000567495326	6.703926086425781	6.703926086425781	575.2392399690359	964.0903235781725	1	0	LIVING
me	T23	1	180	1	11	39.56008088970496	6.703926086425781	5.363141059875488	749.9652268958816	1135.7273204013673	1	0	LIVING
me	T23	1	180	1	12	34.52535300326414	5.363141059875488	5.363141059875488	581.7109249053872	779.9494433433164	1	0	LIVING
me	T23	1	180	1	13	60.207972893961475	5.363141059875488	6.703926086425781	1141.307134145536	1728.5060642899762	1	0	LIVING
me	T23	1	180	1	14	56.515484603779164	6.703926086425781	6.703926086425781	1190.272900614556	1994.8753599660322	1	0	LIVING
me	T23	1	180	1	15	18.384776310850235	6.703926086425781	8.044711112976074	426.20511807666276	787.3843584888401	1	0	LIVING
me	T23	1	180	1	16	20.518284528683193	8.044711112976074	9.385496139526367	562.076124171166	1226.3990339715356	1	0	LIVING
me	T23	1	180	1	17	20.8806130178211	9.385496139526367	6.703926086425781	528.8068422473845	1071.1659947719643	1	0	LIVING
me	T23	1	180	1	18	19.026297590440446	6.703926086425781	8.044711112976074	441.05777050881017	814.8594722811666	1	0	LIVING
me	T23	1	180	1	19	18.35755975068582	8.044711112976074	6.703926086425781	425.5750085640187	786.218725934873	1	0	LIVING
me	T23	1	180	1	20	33.301651610693426	6.703926086425781	8.044711112976074	771.6591754154821	1426.2452339237655	1	0	LIVING
me	T23	1	180	1	21	38.07886552931954	8.044711112976074	8.044711112976074	962.3749873617276	1935.5071871028567	1	0	LIVING
me	T23	1	180	1	22	45.880278987817846	8.044711112976074	6.703926086425781	1063.02670918397	1964.9634799631285	1	0	LIVING
me	T23	1	180	1	23	31.400636936215164	6.703926086425781	6.703926086425781	661.3289697371563	1108.3751179071758	1	0	LIVING
me	T23	1	180	1	24	44.10215414239989	6.703926086425781	6.703926086425781	928.8356864043301	1556.71142584902	1	0	LIVING
